"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante"
"ZFY","down",0.887124769206774,9.58250602244884,2.87399652958534,0.00853511059786322,0.700198817717551,TRUE,"up",FALSE
"TLR6","up",1.08004493611332,8.09479410160979,2.86957477846526,0.0086231594947094,0.700198817717551,TRUE,"up",TRUE
"MYO18B","up",0.826605844468437,8.31800991349702,2.86903108296918,0.00863404542297024,0.700198817717551,TRUE,"up",TRUE
"GRIK3","down",0.840369916050699,8.40162034656781,2.852692638932,0.00896734311818628,0.700198817717551,TRUE,"up",FALSE
"NOL3","up",1.06721679505164,9.26750343714941,2.84019515743316,0.00923050759589891,0.700198817717551,TRUE,"up",TRUE
"TAS2R40","up",0.993725574743491,8.3120986577351,2.83110973466361,0.00942641238591851,0.700198817717551,TRUE,"up",TRUE
"ALOXE3","up",0.86790707672791,8.49354626986798,2.82923094238063,0.00946741372905236,0.700198817717551,TRUE,"up",TRUE
"LHX9","up",1.03568721317595,8.41672137712186,2.82554761533342,0.00954828784357108,0.700198817717551,TRUE,"up",TRUE
"ATP1B3","up",0.975821606598369,14.3023545122839,2.81845151510246,0.00970594815089073,0.700198817717551,TRUE,"up",TRUE
"KRTAP22-1","up",1.23578780253091,9.07006861863339,2.81818754598981,0.00971186038973204,0.700198817717551,TRUE,"up",TRUE
"CPZ","up",1.21897815879475,11.6040727116564,2.81628472771052,0.00975457992273392,0.700198817717551,TRUE,"up",TRUE
"ZNF295","down",1.18633746051717,8.68770789255733,2.8114887431778,0.00986304544901069,0.700198817717551,TRUE,"up",FALSE
"MCL1","up",1.08073677324907,15.5315162584235,2.76508405216833,0.0109732734495317,0.715269559636399,TRUE,"up",TRUE
"CDX2","up",0.883492449461096,8.87919118182232,2.76028286668124,0.0110946657862939,0.71655221095208,TRUE,"up",TRUE
"KIF9","up",0.815557223097542,8.7820304865912,2.72733067207928,0.0119627266803423,0.739261956673933,TRUE,"up",TRUE
"ITGA2","up",1.01439391021548,8.69803182381598,2.72119308976369,0.0121313376655048,0.739261956673933,TRUE,"up",TRUE
"TRIM54","down",0.950733617019867,8.89915054152477,2.7207634702436,0.0121432237316731,0.739261956673933,TRUE,"up",FALSE
"ASB1","up",0.84099597023411,11.1269211089379,2.70414178937407,0.0126116143852929,0.746536269195852,TRUE,"up",TRUE
"GAB3","up",0.846189708601649,7.98487563442411,2.69480776745752,0.0128820580359492,0.751917199366621,TRUE,"up",TRUE
"PKIB","up",0.721600406989282,8.74149855352482,2.69066905271203,0.0130037134145765,0.753765422563964,TRUE,"up",TRUE
"ME2","up",1.03822885263043,11.3203710446923,2.68310319009299,0.0132289099973236,0.756324414393394,TRUE,"up",TRUE
"MMP27","up",0.912017962304996,8.87880544702173,2.68236478210068,0.0132510841709068,0.756324414393394,TRUE,"up",TRUE
"FST","up",0.885723993031784,11.9437092208906,2.67716027618177,0.0134083691559318,0.756324414393394,TRUE,"up",TRUE
"CCRN4L","down",0.911240780562325,9.01588486879882,2.65291768875649,0.0141644254909344,0.767904387780367,TRUE,"up",FALSE
"DPF1","down",0.914474864007991,8.85838636385251,2.63862179666197,0.0146288659992592,0.780454659934998,TRUE,"up",FALSE
"CRYGC","down",0.759541553590044,8.40723017431049,2.62092415438724,0.0152236284059384,0.780906459809956,TRUE,"up",FALSE
"FOXF2","down",0.906898752985038,9.00319688574406,2.61990107253359,0.0152586951792136,0.780906459809956,TRUE,"up",FALSE
"CXCL3","down",1.60368833937846,10.4851807153516,2.61722797179995,0.0153506751494729,0.780906459809956,TRUE,"up",FALSE
"PRG4","up",1.3764782835461,10.939209556571,2.59252936771385,0.016225465453825,0.792535063799932,TRUE,"up",TRUE
"SYNE2","up",0.830993120983631,8.8263960838868,2.59167457152936,0.0162565609205096,0.792535063799932,TRUE,"up",TRUE
"PPFIBP1","down",0.695958220277119,10.5569084713488,2.58907345280602,0.0163515268534018,0.792535063799932,TRUE,"up",FALSE
"RECQL5","down",0.680068956615044,8.50395751505508,2.5869594671927,0.0164290898106576,0.792535063799932,TRUE,"up",FALSE
"REL","down",0.897289142221978,12.3885437353411,2.56949576615325,0.01708312932988,0.792535063799932,TRUE,"up",FALSE
"CARD9","down",0.994551898979113,8.67759738532816,2.56822965288657,0.0171314808502441,0.792535063799932,TRUE,"up",FALSE
"GLB1L","up",0.769034314611685,11.2617086847455,2.56616228422934,0.0172107063821057,0.792535063799932,TRUE,"up",TRUE
"NRAP","down",0.709453583494085,8.19519223865718,2.55979448543157,0.0174568883867305,0.79291870637733,TRUE,"up",FALSE
"CCL18","up",1.10832231830753,8.97013562725331,2.55918449064141,0.0174806428543105,0.79291870637733,TRUE,"up",TRUE
"FOSL2","down",1.25254484204294,9.806339611102,2.55721779277766,0.0175574358336784,0.79291870637733,TRUE,"up",FALSE
"AMBN","up",0.953342354359925,8.5677300171505,2.55714048559693,0.0175604608444358,0.79291870637733,TRUE,"up",TRUE
"TEF","up",0.956173228089851,8.67193342711951,2.53503264571131,0.0184457750381125,0.804352776008192,TRUE,"up",TRUE
