"GeneSymbol","Direction","logFC_SUI","logFC_POP","adj.P.Val","Direcao_POP","Concordante"
"ANKRD6","up",1.46697207279317,0.124718037,0.296535552209879,"up",TRUE
"ANKRD7","down",-1.42564492030238,0.0341128064166669,0.782529262522473,"up",FALSE
"ANKS1A","down",-2.03798086015814,-0.0954046441666649,0.456868184097407,"down",TRUE
"ANKS1B","up",2.04572728787087,-0.0500478683333326,0.582812581313625,"down",FALSE
"ANKS6","up",1.21575301228433,-0.128538119249999,0.218595037811533,"down",FALSE
"ANP32A","down",-1.31034931194644,0.0937855940833332,0.202511888614046,"up",FALSE
"ANP32E","down",-1.59748502631392,0.102061696416667,0.190586659782095,"up",FALSE
"ANTXR1","down",-1.90139648284206,0.123821117500001,0.425555107755007,"up",FALSE
"ANXA11","up",2.03067617526855,0.0667293616666667,0.555363925692651,"up",TRUE
"ANXA2","up",3.00302633892272,0.0425690558333344,0.83252680004747,"up",TRUE
"ANXA3","up",2.64210632868664,0.0534456230000002,0.846142190367499,"up",TRUE
"ANXA7","up",1.12536498064937,0.0197114025000009,0.868455168244754,"up",TRUE
"ANXA8","down",-1.39273071631348,0.103250132166666,0.905274534851019,"up",FALSE
"AOC2","down",-1.86679457528512,0.0337503660000008,0.77730761043615,"up",FALSE
"AP1B1","up",2.31441686220462,0.0826502518333341,0.40865777354528,"up",TRUE
"AP1G2","up",2.56858812857016,-0.0562634540833326,0.522741013511102,"down",FALSE
"AP2A1","up",3.94846270096045,0.0196064025000017,0.836493323183455,"up",TRUE
"AP3S2","down",-6.48045046608174,-0.0320973054166648,0.792430456356977,"down",TRUE
"AP4B1","up",1.86792112793814,-0.222990461166666,0.0125374811362126,"down",FALSE
"AP4M1","up",2.42044313741623,0.0683304210833335,0.429269177430547,"up",TRUE
"AP4S1","up",1.19692997776844,0.00618795725000016,0.963914808936301,"up",TRUE
"APBB1IP","up",1.81077865851364,0.178440214416667,0.36897489364507,"up",TRUE
"APBB2","up",1.46494637716374,0.237912827500001,0.152586520009961,"up",TRUE
"APBB3","up",1.57813381488086,-0.0530268708333319,0.701269637584232,"down",FALSE
"APC","down",-2.93893543243158,-0.056275603583333,0.464335362291383,"down",TRUE
"APC2","down",-1.24742324137241,0.0304821820833339,0.767911333026026,"up",FALSE
"APCDD1","up",2.57120463532974,0.117261516666667,0.608458799391643,"up",TRUE
"APCDD1L","down",-1.76992505447015,-0.293501032833334,0.208679487492679,"down",TRUE
"APEX1","up",1.10602047621322,-0.137189094999998,0.125517908361443,"down",FALSE
"APEX2","up",1.31586685223704,-0.0370713055833323,0.752148862857738,"down",FALSE
"APH1A","down",-3.7509083352246,0.0306530878333352,0.79126485292725,"up",FALSE
"APH1B","up",3.24131789748398,0.130785934833334,0.222388726132748,"up",TRUE
"APIP","up",1.82976506535707,-0.0437852379166664,0.648001532610727,"down",FALSE
"APLP2","down",-1.47480394522796,0.105109374166668,0.355787035564952,"up",FALSE
"APOC4","down",-1.32589380175506,0.0683627000833336,0.447595805381655,"up",FALSE
"APOL3","up",1.93145511970938,-0.148835416666666,0.19162215049679,"down",FALSE
"APOLD1","down",-2.45541286863494,1.564247208,0.0140592735363518,"up",FALSE
"APP","down",-1.21295282376446,0.286791730000001,0.110777745052842,"up",FALSE
"APTX","up",1.84230142044973,-0.0702161701666656,0.338810107286055,"down",FALSE
"AQP1","up",2.43935890736661,0.0742715791666689,0.586493917102784,"up",TRUE
