ID	GeneSymbol
159897	C15orf29
205333	MGC29463
120135	PTPRH
111139	FIBL-6
218764	GANAB
174354	HSPC049
211001	OR52B2
170365	NFAM1
119963	MED6
155352	MRGX4
219285	SSTR1
181402	GIPR
212091	ZNF227
190958	ACCN3
216927	DCC1
145387	MGC17301
141003	GPR88
185745	ZNF206
109967	ISYNA1
149402	C14orf111
161198	FAH
184881	GK
196826	HGFAC
223856	MT1E
210323	STMN2
176228	NDRG2
160510	TCN2
184267	KIAA0961
147314	EIF3S6IP
104782	ADSL
153339	MGC4266
152791	C14orf1
101365	RPS23
210845	DKFZp434M0331
197413	RGS18
103958	MGC13168
222351	PCSK6
103457	KIAA0323
108301	PDGFD
145696	DCLRE1A
104742	CHAF1A
200114	C5R1
180211	DDX42
113795	CCL13
141080	POLDIP3
164901	LOC128439
132134	TNFRSF13C
147879	HNF4A
107312	SPOCK3
159351	KDELR2
158259	CRB3
216091	C20orf81
152339	KIAA1946
197396	ADCY1
128141	RFPL2,RFPL3
203421	C11orf13
138294	ATP6V1E2
118147	DDX1
142626	TSNAX
114866	ORC6L
128624	PTK2
111380	OR5AU1
223273	ARMC7
152085	CD5
140355	OTOP3
225775	FLJ34503
220814	ADD2
117183	FKBP5
227866	FLJ38705
103627	MAGEB6
125374	MGC72075
128130	NOTCH2,NOTCH2NL
10695642	SCHIP1
157216	DECR1
124046	SERPINB1
215923	USP28
119340	SUHW3
162809	RBKS
217724	KRT25B
162212	MFAP2
202631	GDAP1
197431	AMPD1
125000	GTF3C3
122858	AGPS
133132	NS3TP1
192902	CBX1
134187	MS4A3
164835	CA2
219615	FLJ25414
221236	CDH23
141019	LBX1
200160	RPL24
188170	ARL11
182584	TDRD9
130690	C20orf139
135171	ATAD2
168047	FLJ40869
181735	EVI5L
133703	UNQ9366
208358	POLR3B
126138	GTF3C5
128988	MGC16943
157389	TJP2
172307	HIST2H2AB
119281	C9orf111
163663	F5
126299	PAK6
157563	FLJ32934
194369	PARD6A
109757	ATP6V1G1
125794	TSCOT
163372	MGC87315,RSAFD1
173918	GPR10
130858	ZNF574
205613	HUNK
102776	TRAM1L1
192350	CEACAM5
177142	GRK1
138691	OR5AK2
126802	C6orf213
123119	NCOA6IP
210241	TRERF1
202965	DIRAS2
107518	BMS1L
148743	C1QTNF4
152470	FLJ35119
102700	NSE1
206539	BCL9
150031	ITGAL
224865	C2orf33
127163	PSMF1
175556	UPP2
153533	MGC9084
162475	C6orf1
204626	FLJ38944
201847	MAPRE3
134746	PTH
131401	SIL
179706	PIK4CB
219722	T1A-2
105377	CTH
172982	PTGIR
166712	DICER1
154587	ODF3
134130	MRPL35
175122	K-ALPHA-1
184534	C14orf155
222684	DPF3
157759	MGC47816
179149	HMOX2
213609	CDV1
143615	NRGN
191530	RALB
153651	CLDN15
184844	SFRS14
173887	LZTS1
150479	FLJ11783
187286	CHGB
159875	ZFHX1B
112225	C20orf11
106596	TACC2
147906	ARX
159687	AIF1
209022	ZNF449
106981	DOCK8
201058	G6PC2
210929	RND2
103641	PWP2H
162112	BTN2A3
205820	GAD2
144901	MRX85
130122	CTDSPL
197119	C9orf97
126840	MGC15523
174121	C10orf125
149125	HSD17B7
115323	CHEK2
100060	ZMYND12
182688	ARFGAP3
205221	ZDHHC5
156092	RPL3L
185583	SUSD1
173381	UNC119
165055	ADORA1
147793	IL20
170870	CDC37
110512	FLJ12592
164611	WNT7A
161340	PAFAH1B2
194067	PCBP3
112696	DPF1
179914	ADPRHL2
221059	LOC90637
114904	ZD52F10
225512	FLJ32771
174760	PFDN2
219032	CDC14A
162941	LOC254359
178046	GLRA3
154410	MYBL2
153280	PRKCD
168822	HS6ST1,HS6ST1P
123880	STAT5B
103877	C6orf69
145991	ZNF3
139228	TIMM9
422268	TESSP2
165944	PPP5C
140845	AER61
230079	FLJ32499
214067	PDLIM1
197179	MAPRE2
209473	RTN1
179108	NRIP2
222850	HE9
123823	NARG1
199241	FLJ14566
164920	CROCC
154251	LOC220074
117823	C18orf23
127989	RWDD3
176828	GCKR
137981	RPS6KA1
162911	THBS1
205420	MGC10993
102257	HNRPC
189905	ADAT1
130995	PHKB
144935	UCP3
134168	RPS14
180254	ZNF140
193461	OMG
188831	UMP-CMPK
106426	ARHGEF3
110677	FKBP6
114842	CTCF
139060	SCGB1D1
116932	FLJ21816
209986	MX1
212465	SATB1
140226	VASP
217057	C2orf24
169185	MTNR1B
195326	CPZ
175047	FKBP8
134260	PCBP4
190191	FLJ32786
121040	MEIS1
180655	PCOLCE
227856	NR1D2
109240	RPIP8
211773	ENO3
194575	IMPG1
166215	FOXR1
206638	EPB41
153018	K6HF
115487	RAD54B
159319	LRP8
168026	ZNF530
213845	KCNA4
184746	SSTR4
156017	FLJ38792
223116	FAM24B
225337	ZCCHC9
215541	ZC3HAV1
171314	NUP153
187002	EBAG9
136109	C14orf143
119301	KRTHB1,KRTHB6
125903	C6orf48
201587	ST3GAL4
214543	UBXD2
223446	GPR141
119646	CKB
137191	ATP10A
196658	PNLDC1
194097	CG018
113895	SYNPO2L
170685	TCTE3
543820	FLJ35487
128261	C7orf19
206883	SMAD5
207800	HRB
137528	DCTD
222726	CDH26
112560	GGN
210517	OAS3
510139	MGC20806
157845	MRPL47
216623	DKFZp547B1713
186127	KU-MEL-3
206825	NDUFC1
111529	CLUAP1
170503	ASCL2
131346	FLJ14803
226098	ZNF585B
181218	CDC42SE1
140786	CHST7
205685	COPB2
210812	PADI4
111334	LAMC3
205006	LOC161247
116895	DHRS9
180626	PRC1
121737	SRPK2
