"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Pid1",50.4523518173648,-9.06334522837465,2.02709281896048,-4.47110519242156,7.78164085970472e-06,0.00112312342305017,"PID1",55022
"Camta2",427.327515663461,-2.70946905938882,0.616094790696695,-4.39781199306179,1.09347634176471e-05,0.00152909937909073,"CAMTA2",23125
"Ihh",528.574333770438,-6.1212737757178,1.39317374606994,-4.39376193600083,1.11405811905182e-05,0.00152909937909073,"IHH",3549
"Ptpn7",125.248958308699,7.36510925041874,1.67555679630532,4.39561897672413,1.10457542127003e-05,0.00152909937909073,"PTPN7",5778
"RGD1560289",151.923295828339,9.99908346610494,2.27519795499677,4.39481911635207,1.10865030113653e-05,0.00152909937909073,NA,NA
"Sh3d19",1259.41873449737,1.99800112105512,0.454093929737202,4.39997319984308,1.0826424818525e-05,0.00152909937909073,"SH3D19",152503
"Ccdc68",43.8899580736743,-6.24118399848951,1.4292426030028,-4.36677719050423,1.26093237676243e-05,0.00168548881668311,"CCDC68",80323
"Gpr37l1",47.3854992790608,-5.9412624412187,1.35964786517007,-4.36970674055782,1.24413503762201e-05,0.00168548881668311,"GPR37L1",9283
"LOC102555635",93.3092656701477,-6.24976069725068,1.43138734341205,-4.36622604357595,1.26411661251233e-05,0.00168548881668311,NA,NA
"B3gntl1",68.8586408945927,-6.12677178812259,1.41997864900136,-4.31469289515826,1.59824927931315e-05,0.00211089527456454,"B3GNTL1",146712
"Mbp",486.927297807529,-2.03666003155051,0.474484311091622,-4.29236538267171,1.76779729059867e-05,0.00231300580078331,"MBP",4155
"LOC102548231",73.2960543633208,-9.6017564941671,2.23807960996666,-4.29017647603256,1.78531192288301e-05,0.00231429323336686,NA,NA
"Mx2",117.911655691343,-8.13460975596874,1.90553277029498,-4.26894246206508,1.96401918751772e-05,0.00252259345185762,NA,NA
"Mzf1",90.9498751520126,-8.2514029913886,1.9406439713673,-4.25188912192636,2.11974808421214e-05,0.00265188285015183,"MZF1",7593
"Stag3",55.2940474916649,-7.0902932553779,1.66763587375559,-4.25170348453242,2.12150628012146e-05,0.00265188285015183,"STAG3",10734
"Tuba8",515.214374535495,-7.31692942097379,1.72083654348657,-4.25196073890262,2.11907016138753e-05,0.00265188285015183,"TUBA8",51807
"Inpp4b",62.4850013177651,-8.4060338817566,1.97943975785958,-4.24667325609659,2.16968014196233e-05,0.00268809929092679,"INPP4B",8821
"Rps6kl1",86.7564305525321,-8.88128328052316,2.10095206363934,-4.2272660258315,2.36547940121761e-05,0.0029049747032497,"RPS6KL1",83694
"Prdm4",178.161429301631,-3.37447028522417,0.798834172599686,-4.2242437804613,2.39744429822745e-05,0.00291862784132038,"PRDM4",11108
"LOC102547230",40.685190151985,-8.75256067952334,2.08501814008605,-4.19783430716921,2.69479676342516e-05,0.0032523409213752,NA,NA
"Lrrc51",53.9680370792947,-7.04965162807514,1.68878170074732,-4.17440076769871,2.98771409611918e-05,0.00357504250817679,"LRRC51",120356739
"Zcchc12",330.901467532285,11.1233219471008,2.67799052763707,4.15360765182225,3.27274136756432e-05,0.00385028396184038,NA,NA
"Zgrf1",58.910861800535,-6.86397131933145,1.65211927056574,-4.15464636338331,3.2579102085417e-05,0.00385028396184038,"ZGRF1",55345
"LOC102550737",31.4032723308312,7.71841638085416,1.88509636231761,4.09444128965632,4.23187627090024e-05,0.00492225484439229,NA,NA
"Wdhd1",47.7569311022163,9.29447954600453,2.27070111311186,4.09322014788068,4.25423454408191e-05,0.00492225484439229,"WDHD1",11169
"LOC102548917",84.435736892945,-8.84216677020973,2.16187899805303,-4.09003777647727,4.31302935586363e-05,0.0049493779493517,NA,NA
