"GeneSymbol","PValue","FDR","FoldChange","Direction","Sui1","Sui2","Sui3","Ctrl1","Ctrl2","Ctrl3","logFC"
"RPN2",0.0064903987075,0.038325786,7.9950458,"up",6.3306036,7.303747,7.049984,2.9988353,3.9730668,4.7151136,2.99910629827642
"TRAF7",0.0064948968432,0.038325907,5.6932935,"up",5.074093,5.3074107,5.7931633,2.40226,2.4978976,3.746719,2.50926347529203
"SEPP1",0.0064964601148,0.038325907,8.5593197,"up",7.5449076,7.815028,7.929286,4.2737484,3.9083061,5.8146787,3.09749613489289
"KIAA1143",0.0064995126871,0.038325907,5.6811928,"up",5.039083,5.455702,5.58885,2.40226,2.4032667,3.7595267,2.50619386388157
"TAS2R20",0.0065010450818,0.038325907,4.313663,"up",6.0006657,6.648625,6.884274,4.1228023,5.016205,4.067817,2.10891347199681
"USMG5",0.0065017331491,0.038325907,4.4789053,"up",15.024818,15.0944605,15.073606,13.104385,12.10222,13.496841,2.16314616280787
"NMT2",0.0065040107386,0.038328216,2.1044036,"down",6.887323,6.705631,7.06435,7.7237983,8.309197,7.844543,-1.07341142320364
"NDUFA9",0.0065223015156,0.038424863,2.6416122,"up",12.687977,12.79831,12.817175,11.350587,10.91284,11.835779,1.40141868831007
"SLC51B",0.0065320520002,0.03845097,4.5401526,"down",4.3665404,4.0619226,3.8969567,6.355661,6.9441514,5.5738297,-2.18274078904997
"OR51B5",0.0065330334211,0.03845097,3.0753941,"up",4.172569,4.136192,4.9598274,2.5823941,3.1096518,2.7142286,1.62077129815408
"LRCH3",0.0065356261345,0.03845097,2.2243702,"down",5.8293867,5.8040595,5.47805,6.633157,7.2372065,6.7013235,-1.15339691452633
"CNIH",0.0065420104896,0.038462934,2.5397034,"up",12.964875,12.291111,12.813238,11.345216,11.620916,11.069112,1.34466002127517
"RINT1",0.0065465210219,0.038478323,6.0243791,"up",6.0053515,7.221951,7.0309224,4.2587395,3.555351,4.6716967,2.59081255827034
"TAF1A",0.0065535186459,0.038508316,3.2349881,"up",6.1395626,6.7013235,6.7947354,5.077148,4.3442473,5.132945,1.6937604052309
"TAF6L",0.0065685113206,0.038548051,4.6157418,"up",5.3940034,4.4398103,5.4454927,3.4194574,2.5259328,2.7142286,2.20656252331656
"RHBDD1",0.0065694972216,0.038548051,3.0853859,"up",5.5884504,6.5607486,6.3654146,4.6362257,4.655448,4.346587,1.62545094357189
"VPS54",0.0065697637424,0.038548051,2.1921459,"down",5.8912816,6.393058,6.0676436,7.042554,7.5675707,7.13889,-1.13234382120066
"KRTAP4-12",0.0065721983231,0.038551207,5.5728959,"up",4.6157737,5.8782706,5.8870378,2.8059177,3.4256542,2.7142286,2.47842720456326
"KRT28",0.0065794502563,0.03858261,2.8193414,"up",3.8160315,3.7218916,4.5858436,2.40226,2.5212035,2.7142286,1.49535818747366
"SGCA",0.0065864278693,0.038601738,2.8695219,"up",7.2041883,7.0262375,7.793114,6.1341805,5.8157635,5.5111647,1.52081038499965
"TUBB3",0.0065865105576,0.038601738,4.9676529,"up",7.4836807,8.153166,8.037235,5.6156306,4.8763523,6.2444057,2.31256437304655
"NIPSNAP3A",0.0065942153288,0.03861887,2.8791461,"up",10.682658,11.523114,11.0466175,9.4875145,9.313721,9.874231,1.52564099918183
"SCYL1",0.0065951339271,0.03861887,3.3772633,"up",14.169585,14.047298,14.950525,12.997808,12.383165,12.518871,1.75585465988918
"HMOX2",0.0065981223074,0.038625241,4.6526691,"down",7.4016495,7.1949577,6.363638,9.046753,9.762434,8.805234,-2.21805858559835
"BAI2",0.0066073140049,0.038667912,2.5370958,"up",9.466342,9.339843,9.665694,8.136556,7.734981,8.570808,1.3431779961758
"SHISA2",0.0066093813852,0.038668876,5.7695849,"up",5.054286,6.339152,5.9816427,3.316042,3.7594075,2.7142286,2.52846752610578
"CXCL1",0.0066114497737,0.038669847,6.2681291,"down",6.395221,6.3405733,6.818143,9.551049,9.751198,8.195795,-2.64803489423483
"NKAIN1",0.0066163781907,0.038687539,2.6404312,"up",3.985794,4.178952,4.7470336,2.8073184,3.187912,2.7142286,1.40077355053189
"WNT3A",0.0066222607523,0.038701784,27.5131604,"down",7.4382024,6.712647,7.4445267,11.087666,13.76309,11.09077,-4.78204996451334
"C9orf64",0.0066264309778,0.038701784,3.247824,"up",3.6155567,4.6709905,4.276105,2.40226,2.3477433,2.7142286,1.69947345481161
"COL15A1",0.0066312387693,0.038718738,22.4112617,"up",7.652527,9.137363,8.889111,4.266774,5.2395425,2.7142286,4.48615196627446
"SET",0.0066502738751,0.038796446,7.701971,"down",6.2683196,6.355661,5.0309253,8.822975,8.182297,9.485317,-2.94522769100883
"FBP1",0.0066550011328,0.038802769,3.0606723,"down",5.5318375,5.4539084,6.06805,7.299938,7.7226763,6.8727274,-1.61384858669002
"KLRB1",0.0066554795145,0.038802769,3.5588354,"up",7.824253,7.412053,7.679899,6.0214214,6.246579,5.153989,1.83140520817919
"GIPR",0.0066570852239,0.038802769,5.6966789,"up",10.150802,9.533619,10.537441,7.951397,7.951846,6.7882557,2.51012108929911
"HDGFRP3",0.0066654199262,0.038811316,3.1073107,"down",10.032133,10.554965,10.3287735,11.981694,12.400824,11.440353,-1.63566650375085
"PNMA1",0.0066666781172,0.038811316,3.3417207,"up",14.911588,14.865817,14.995192,13.4657135,13.568362,12.516748,1.740591158425
"SRP54",0.0066668196581,0.038811316,8.8879701,"up",8.262487,9.926686,9.663743,6.1430883,5.565052,6.6892138,3.15185396336806
"SMAD5",0.0066676633607,0.038811316,4.3262669,"down",7.869409,7.891906,6.989157,9.640399,10.208887,9.240554,-2.11312267210261
"CSF2RB",0.0066720835537,0.038811316,3.4012991,"down",5.5331025,5.6423774,5.432025,7.6019335,7.673544,6.630285,-1.76608587788149
"PVRL1",0.0066739111337,0.038811316,8.5151897,"down",10.317282,10.511705,10.627994,13.409075,14.673014,12.645008,-3.09003867038541
"RBMY1B",0.0066757372344,0.038811316,5.8616932,"up",10.952229,10.779065,11.384885,8.284512,7.8118086,9.365906,2.55131745959661
"F11R",0.0066831018397,0.038843021,4.5825079,"up",3.8780046,4.9238605,5.2249746,2.40226,2.321939,2.7142286,2.19613736789686
"ANKRD26",0.0066874563346,0.038855493,8.0059342,"down",3.8884919,4.2712746,2.5298138,6.1381083,6.9777007,6.5769806,-3.00106975840297
"COX16",0.00669194183,0.038855493,3.4058152,"up",13.327597,13.235676,13.661119,11.742696,11.0466175,12.131078,1.7680001563093
